,paragraph_number,paragraph
153,154,Bibliographic Remarks
154,155,Feature Selection and Generation
155,156,Greedy Selection Approaches
156,157,Feature Manipulation and Normalization
157,158,Examples of Feature Transformations
158,159,Bibliographic Remarks
159,160,Rademacher Complexities
160,161,The Rademacher Complexity
161,162,Rademacher Complexity of Linear Classes
162,163,Generalization Bounds for SVM
163,164,Generalization Bounds for Predictors with Low ℓ1 Norm
164,165,Bibliographic Remarks
165,166,From Covering to Rademacher Complexity via Chaining
166,167,Bibliographic Remarks
167,168,Proof of the Fundamental Theorem of Learning Theory
168,169,The Upper Bound for the Agnostic Case
169,170,The Lower Bound for the Agnostic Case
170,171,The Upper Bound for the Realizable Case
171,172,Multiclass Learnability
172,173,The Natarajan Dimension
173,174,The Multiclass Fundamental Theorem
174,175,Calculating the Natarajan Dimension
175,176,Linear Multiclass Predictors
176,177,On Good and Bad ERMs
177,178,Bibliographic Remarks
178,179,Axis Aligned Rectangles
179,180,Separating Polynomials
180,181,Separation with Margin
181,182,Bibliographic Remarks
182,183,Bibliographic Remarks
183,184,Measure Concentration
184,185,"The subject of this book is automated learning, or, as we will more often call it, Machine Learning (ML). That is, we wish to program computers so that they can “learn” from input available to them. Roughly speaking, learning is the process of converting experience into expertise or knowledge. The input to a learning algorithm is training data, representing experience, and the output is some expertise, which usually takes the form of another computer program this concept, we’ll have to be more explicit about what we mean by each of the involved terms: What is the training data our programs will access? How can the process of learning be automated? How can we evaluate the success of such a process (namely, the quality of the output of a learning program)? mal learning. Some of the most fundamental issues in ML arise already in that context, which we are all familiar with."
185,186,"Bait Shyness – Rats Learning to Avoid Poisonous Baits: When rats encounter food items with novel look or smell, they will ﬁrst eat very small amounts, and subsequent feeding will depend on the ﬂavor of the food and its physiological eﬀect. If the food produces an ill eﬀect, the novel food will often be associated with the illness, and subsequently, the rats will not eat it. Clearly, there is a learning mechanism in play here – the animal used past experience with some food to acquire expertise in detecting the safety of this food. If past experience with the food was negatively labeled, the animal predicts that it will also have a negative eﬀect when encountered in the future."
186,187,"Inspired by the preceding example of successful learning, let us demonstrate a typical machine learning task. Suppose we would like to program a machine that to the way rats learn how to avoid poisonous baits. The machine will simply"
187,188,"Personal use only. Not for distribution. Do not post. it will be moved to the user’s inbox folder. ful, it lacks an important aspect of learning systems – the ability to label unseen examples to broader generalization. This is also referred to as inductive reasoning or inductive inference. In the bait shyness example presented previously, after the rats encounter an example of a certain type of food, they apply their attitude toward it on new, unseen examples of food of similar smell and taste. To achieve generalization in the spam ﬁltering task, the learner can scan the previously seen ingly. Such a system would potentially be able correctly to predict the label of"
188,189,"However, inductive reasoning might lead us to false conclusions. To illustrate this, let us consider again an example from animal learning."
189,190,"Pigeon Superstition: In an experiment performed by the psychologist B. F. Skinner, he placed a bunch of hungry pigeons in a cage. An automatic mechanism had been attached to the cage, delivering food to the pigeons at regular intervals with no reference whatsoever to the birds’ behavior. The hungry pigeons went around the cage, and when food was ﬁrst delivered, it found each pigeon engaged in some activity (pecking, turning the head, etc.). The arrival of food reinforced each bird’s speciﬁc action, and consequently, each bird tended to spend some more time doing that very same action. That, in turn, increased the chance that the next random food delivery would ﬁnd each bird engaged in that activity again. What results is a chain of events that reinforces the pigeons’ association ing when it was ﬁrst delivered. They subsequently continue to perform these"
190,191,What distinguishes learning mechanisms that result in superstition from useful learning? This question is crucial to the development of automated learners.
191,192,"While human learners can rely on common sense to ﬁlter out random meaningless learning conclusions, once we export the task of learning to a machine, we must provide well deﬁned crisp principles that will protect the program from reaching senseless or useless conclusions. The development of such principles is a central goal of the theory of machine learning."
192,193,"What, then, made the rats’ learning more successful than that of the pigeons?"
193,194,"As a ﬁrst step toward answering this question, let us have a closer look at the bait shyness phenomenon in rats."
194,195,"Bait Shyness revisited – rats fail to acquire conditioning between food and electric shock or between sound and nausea: The bait shyness mechanism in rats turns out to be more complex than what one may expect. In experiments unpleasant stimulus that follows food consumption is replaced by, say, electrical shock (rather than nausea), then no conditioning occurs. Even after repeated trials in which the consumption of some food is followed by the administration of unpleasant electrical shock, the rats do not tend to avoid that food. Similar failure of conditioning occurs when the characteristic of the food that implies nausea (such as taste or smell) is replaced by a vocal signal. The rats seem to have some “built in” prior knowledge telling them that, while temporal correlation between food and nausea can be causal, it is unlikely that there would be a causal relationship between food consumption and electrical shocks or between"
195,196,We conclude that one distinguishing feature between the bait shyness learning and the pigeon superstition is the incorporation of prior knowledge that biases the learning mechanism. This is also referred to as inductive bias. The pigeons in the experiment are willing to adopt any explanation for the occurrence of food.
196,197,"However, the rats “know” that food cannot cause an electric shock and that the of that food. The rats’ learning process is biased toward detecting some kind of patterns while ignoring other temporal correlations between events."
197,198,"It turns out that the incorporation of prior knowledge, biasing the learning process, is inevitable for the success of learning algorithms (this is formally stated tools for expressing domain expertise, translating it into a learning bias, and quantifying the eﬀect of such a bias on the success of learning is a central theme of the theory of machine learning. Roughly speaking, the stronger the prior knowledge (or prior assumptions) that one starts the learning process with, the easier it is to learn from further examples. However, the stronger these prior assumptions are, the less ﬂexible the learning is – it is bound, a priori, by the commitment to these assumptions. We shall discuss these issues explicitly in"
198,199,When Do We Need Machine Learning?
199,200,When do we need machine learning rather than directly program our computers to carry out the task at hand? Two aspects of a given problem may call for the use of programs that learn and improve on the basis of their “experience”: the problem’s complexity and the need for adaptivity.
200,201,"Tasks That Are Too Complex to Program. ing how we do them is not suﬃciently elaborate to extract a well deﬁned program. Examples of such tasks include driving, speech recognition, and image understanding. In all of these tasks, state of the art machine learning programs, programs that “learn from their experience,” achieve quite satisfactory results, once exposed to suﬃciently many training examples."
201,202,"• Tasks beyond Human Capabilities: Another wide family of tasks that sis of very large and complex data sets: astronomical data, turning ysis of genomic data, Web search engines, and electronic commerce."
202,203,"With more and more available digitally recorded data, it becomes obvious that there are treasures of meaningful information buried in data archives that are way too large and too complex for humans to make sense of. Learning to detect meaningful patterns in large nation of programs that learn with the almost unlimited memory capacity and ever increasing processing speed of computers opens"
203,204,"Adaptivity. One limiting feature of programmed tools is their rigidity – once the program has been written down and installed, it stays unchanged."
204,205,"However, many tasks change over time or from one user to another."
205,206,"Machine learning tools – programs whose behavior adapts to their input data – oﬀer a solution to such issues; they are, by nature, adaptive to changes in the environment they interact with. Typical successful applications of machine learning to such problems include programs that decode handwritten text, where a ﬁxed program can adapt to variations between the handwriting of diﬀerent users; spam detection programs, speech recognition programs."
206,207,"Learning is, of course, a very wide domain. Consequently, the ﬁeld of machine ing tasks. We give a rough taxonomy of learning paradigms, aiming to provide some perspective of where the content of this book sits within the wide ﬁeld of"
207,208,"We describe four parameters along which learning paradigms can be classiﬁed. tween the learner and the environment, one can divide learning tasks according to the nature of that interaction. The ﬁrst distinction to note is the diﬀerence between supervised and unsupervised learning. As an versus the task of anomaly detection. For the spam detection task, we sage. In contrast, for the task of anomaly detection, all the learner gets learner’s task is to detect “unusual” messages."
208,209,"More abstractly, viewing learning as a process of “using experience to gain expertise,” supervised learning describes a scenario in which the “experience,” a training example, contains signiﬁcant information (say, quired expertise is aimed to predict that missing information for the test data. In such cases, we can think of the environment as a teacher that “supervises” the learner by providing the extra information (labels). In unsupervised learning, however, there is no distinction between training and test data. The learner processes input data with the goal of coming up with some summary, or compressed version of that data. Clustering a data set into subsets of similar objets is a typical example of such a"
209,210,"There is also an intermediate learning setting in which, while the training examples contain more information than the test examples, the ples. For example, one may try to learn a value function that describes for ter than the Black’s. Yet, the only information available to the learner at training time is positions that occurred throughout actual chess games, labeled by who eventually won that game. Such learning frameworks are mainly investigated under the title of reinforcement learning."
210,211,"Active versus Passive Learners Learning paradigms can vary by the role played by the learner. We distinguish between “active” and “passive” learners. An active learner interacts with the environment at training time, say, by posing queries or performing experiments, while a passive learner only observes the information provided by the environment (or the teacher) without inﬂuencing or directing it. Note that the learner of a ing to them. In an active setting, one could imagine asking users to label"
211,212,"Helpfulness of the Teacher When one thinks about human learning, of a baby at home or a student at school, the process often involves a helpful ful for achieving the learning goal. In contrast, when a scientist learns about nature, the environment, playing the role of the teacher, can be best thought of as passive – apples drop, stars shine, and the rain falls narios by postulating that the training data (or the learner’s experience) is generated by some random process. This is the basic building block in the branch of “statistical learning.” Finally, learning also occurs when the learner’s input is generated by an adversarial “teacher.” This may be the case in the spam ﬁltering example (if the spammer makes an eﬀort to mislead the spam ﬁltering designer) or in learning to detect fraud. when no milder setup can be safely assumed. If you can learn against an adversarial teacher, you are guaranteed to succeed interacting any odd"
212,213,"Online versus Batch Learning Protocol The last parameter we mention is the distinction between situations in which the learner has to respond online, throughout the learning process, and settings in which the learner has to engage the acquired expertise only after having a chance to process large amounts of data. For example, a stockbroker has to make daily decisions, based on the experience collected so far. He may become an expert over time, but might have made costly mistakes in the process. In contrast, in many data mining settings, the learner – the data miner – has large amounts of training data to play with before having to output"
213,214,In this book we shall discuss only a subset of the possible learning paradigms.
214,215,"Our main focus is on supervised statistical batch learning with a passive learner (for example, trying to learn how to generate patients’ prognoses, based on large archives of records of patients that were independently collected and are already labeled by the fate of the recorded patients). We shall also brieﬂy discuss online learning and batch unsupervised learning (in particular, clustering)."
215,216,Relations to Other Fields
216,217,"As an interdisciplinary ﬁeld, machine learning shares common threads with the tion. It is naturally a subﬁeld of computer science, as our goal is to program machines so that they will learn. In a sense, machine learning can be viewed as rience into expertise or to detect meaningful patterns in complex sensory data is a cornerstone of human (and animal) intelligence. However, one should note that, in contrast with traditional AI, machine learning is not trying to build automated imitation of intelligent behavior, but rather to use the strengths and ing tasks that fall way beyond human capabilities. For example, the ability to scan and process huge databases allows machine learning programs to detect patterns that are outside the scope of human perception."
217,218,"The component of experience, or training, in machine learning often refers to data that is randomly generated. The task of the learner is to process such vironment from which these examples are picked. This description of machine learning highlights its close relationship with statistics. Indeed there is a lot in common between the two disciplines, in terms of both the goals and techniques used. There are, however, a few signiﬁcant diﬀerences of emphasis; if a doctor comes up with the hypothesis that there is a correlation between smoking and heart disease, it is the statistician’s role to view samples of patients and check sis testing). In contrast, machine learning aims to use the data gathered from samples of patients to come up with a description of the causes of heart disease."
218,219,The hope is that automated techniques may be able to ﬁgure out meaningful patterns (or hypotheses) that may have been missed by the human observer.
219,220,"In contrast with traditional statistics, in machine learning in general, and mic issues are pivotal. We develop algorithms to perform the learning tasks and are concerned with their computational eﬃciency. Another diﬀerence is that while statistics is often interested in asymptotic behavior (like the convergence theory of machine learning focuses on ﬁnite sample bounds. Namely, given the size of available samples, machine learning theory aims to ﬁgure out the degree of accuracy that a learner can expect on the basis of such samples."
220,221,"There are further diﬀerences between these two disciplines, of which we shall mention only one more here. While in statistics it is common to work under the ting, where the learner assumes as little as possible about the nature of the data distribution and allows the learning algorithm to ﬁgure out which models requires some technical preliminaries, and we will come back to it later in the"
221,222,How to Read This Book
222,223,"The ﬁrst part of the book provides the basic theoretical principles that underlie machine learning (ML). In a sense, this is the foundation upon which the rest of the book is built. This part could serve as a basis for a minicourse on the theoretical foundations of ML."
223,224,"The second part of the book introduces the most commonly used algorithmic approaches to supervised machine learning. A subset of these chapters may also be used for introducing machine learning in a general AI course to computer science, Math, or engineering students."
224,225,"The third part of the book extends the scope of discussion from statistical classiﬁcation to other learning models. It covers online learning, unsupervised learning, dimensionality reduction, generative models, and feature learning."
225,226,"The fourth part of the book, Advanced Theory, is geared toward readers who niques that serve to analyze and drive forward the ﬁeld of theoretical machine"
226,227,"The Appendixes provide some technical tools used in the book. In particular, we list basic results from measure concentration and linear algebra."
227,228,"A few sections are marked by an asterisk, which means they are addressed to more advanced students. Each chapter is concluded with a list of exercises. A solution manual is provided in the course Web site."
228,229,Possible Course Plans Based on This Book
229,230,Most of the notation we use throughout the book is either standard or deﬁned on the spot. In this section we describe our main conventions and provide a this section and return to it if during the reading of the book some notation is
230,231,"Often, we would like to emphasize that some object is a vector and then we by xi. We use uppercase letters to denote matrices, sets, and sequences. The meaning should be clear from the context. As we will see momentarily, the input of a learning algorithm is a sequence of training examples. We denote by z an abstract example and by S = z1, . . . , zm a sequence of m examples. Historically,"
231,232,"S is often referred to as a training set; however, we will always assume that S is a sequence rather than a set. A sequence of m vectors is denoted by x1, . . . , xm."
232,233,"The ith element of xt is denoted by xt,i."
233,234,"Throughout the book, we make use of basic notions from probability. We z ∼D to denote that z is sampled according to D. Given a random variable {true, false} we also use Pz∼D[f(z)] to denote D({z : f(z) = true}). In the next chapter we will also introduce the notation Dm to denote the probability over Zm induced by sampling (z1, . . . , zm) where each point zi is sampled from"
234,235,D independently of the other points.
235,236,"In general, we have made an eﬀort to avoid asymptotic notation. However, we"
236,237,"The user who is not familiar with measure theory can skip the few footnotes and remarks regarding more formal measurability deﬁnitions and assumptions. the set of real numbers the set of natural numbers asymptotic notation (see text) the ith element of a vector ⟨x, x⟩(the ℓ2 norm of x) = maxi |xi| (the ℓ∞norm of x) the number of nonzero elements of x a d × k matrix over R the (i, j) element of A a sequence of m vectors the jth element of the ith vector in the sequence the values of a vector w during an iterative algorithm the ith element of the vector w(t) instances domain (a set) labels domain (a set) examples domain (a set) hypothesis class (a set) a distribution over some set (usually over Z or over X) sampling z according to D a sequence of m examples sampling S = z1, . . . , zm i.i.d. according to D probability and expectation of a random variable"
237,238,Gaussian distribution with expectation µ and covariance C the natural logarithm x0 such that for all x > x0 we have f(x) ≤αg(x). We write f = Ω(g) if there f = ω(g) is deﬁned analogously. The notation f = Θ(g) means that f = O(g) such that f(x) = O(g(x) logk(g(x))).
238,239,"The inner product between vectors x and w is denoted by ⟨x, w⟩. Whenever we space and then ⟨x, w⟩= Pd ⟨w, w⟩. We omit the subscript from the ℓ2 norm when it is clear from the context. We also use other ℓp norms, ∥w∥p = (P i |wi| and ∥w∥∞= maxi |wi|. whenever the minimum is not achievable. However, in the context of this book the distinction between inﬁmum and minimum is often of little interest. Hence, to simplify the presentation, we sometimes use the min notation even when inf is more adequate. An analogous remark applies to max versus sup."
239,240,"Let us begin our mathematical analysis by showing how successful learning can be achieved in a relatively simpliﬁed setting. Imagine you have just arrived in some small Paciﬁc island. You soon ﬁnd out that papayas are a signiﬁcant ingredient in the local diet. However, you have never before tasted papayas. You have to learn how to predict whether a papaya you see in the market is tasty or not."
240,241,"First, you need to decide which features of a papaya your prediction should be based on. On the basis of your previous experience with other fruits, you decide to use two features: the papaya’s color, ranging from dark green, through orange and red to dark brown, and the papaya’s softness, ranging from rock hard to mushy. Your input for ﬁguring out your prediction rule is a sample of papayas that you have examined for color and softness and then tasted and found out whether they were tasty or not. Let us analyze this task as a demonstration of the considerations involved in learning problems."
241,242,Our ﬁrst step is to describe a formal model aimed to capture such learning
242,243,A Formal Model – The Statistical Learning Framework
243,244,"• The learner’s input: In the basic statistical learning setting, the learner has access to the following: – Domain set: An arbitrary set, X. This is the set of objects that we tioned before, the domain set will be the set of all papayas. Usually, these domain points will be represented by a vector of features (like the papaya’s color and softness). We also refer to domain points as instances and to X as instance space. – Label set: For our current discussion, we will restrict the label set to – Training data: S = ((x1, y1) . . . (xm, ym)) is a ﬁnite sequence of pairs in"
244,245,"X ×Y: that is, a sequence of labeled domain points. This is the input that the learner has access to (like a set of papayas that have been"
245,246,"Personal use only. Not for distribution. Do not post. tasted and their color, softness, and tastiness). Such labeled examples are often called training examples. We sometimes also refer to S as a"
246,247,"• The learner’s output: The learner is requested to output a prediction rule, siﬁer. The predictor can be used to predict the label of new domain points."
247,248,"In our papayas example, it is a rule that our learner will employ to predict whether future papayas he examines in the farmers’ market are going to be tasty or not. We use the notation A(S) to denote the hypothesis that a learning algorithm, A, returns upon receiving the training sequence S. generated. First, we assume that the instances (the papayas we encounter) are generated by some probability distribution (in this case, representing the environment). Let us denote that probability distribution over X by"
248,249,"D. It is important to note that we do not assume that the learner knows anything about this distribution. For the type of learning tasks we discuss, this could be any arbitrary probability distribution. As to the labels, in the current discussion we assume that there is some “correct” labeling function, the next chapter. The labeling function is unknown to the learner. In fact, this is just what the learner is trying to ﬁgure out. In summary, each pair in the training data S is generated by ﬁrst sampling a point xi according to D and then labeling it by f."
249,250,"• Measures of success: We deﬁne the error of a classiﬁer to be the probability that it does not predict the correct label on a random data point generated by the aforementioned underlying distribution. That is, the error of h is the probability to draw a random instance x, according to the distribution"
250,251,"D, such that h(x) does not equal f(x)."
251,252,"D, assigns a number, D(A), which determines how likely it is to observe a we also use the notation Px∼D[π(x)] to express D(A). = D({x : h(x) ̸= f(x)})."
252,253,"That is, the error of such h is the probability of randomly choosing an example x for which h(x) ̸= f(x). The subscript (D, f) indicates that the error is measured with respect to the probability distribution D and the twice in S and some algorithms can take into account the order of examples in S. σ-algebra of subsets of X, over which D is deﬁned. We will formally deﬁne our measurability assumptions in the next chapter. correct labeling function f. We omit this subscript when it is clear from ization error, the risk, or the true error of h, and we will use these names interchangeably throughout the book. We use the letter L for the error, since we view this error as the loss of the learner. We will later also discuss other possible formulations of such loss."
253,254,"• A note about the information available to the learner The learner is blind to the underlying distribution D over the world and to the labeling function f. In our papayas example, we have just arrived in a new island and we have no clue as to how papayas are distributed and how to predict their tastiness. The only way the learner can interact with the environment is through observing the training set."
254,255,In the next section we describe a simple learning paradigm for the preceding setup and analyze its performance.
255,256,Empirical Risk Minimization
256,257,"As mentioned earlier, a learning algorithm receives as input a training set S, sampled from an unknown distribution D and labeled by some target function fact that the output predictor depends on S). The goal of the algorithm is to ﬁnd hS that minimizes the error with respect to the unknown D and f."
257,258,"Since the learner does not know what D and f are, the true error is not directly available to the learner. A useful notion of error that can be calculated by the learner is the training error – the error the classiﬁer incurs over the training"
258,259,The terms empirical error and empirical risk are often used interchangeably
259,260,"Since the training sample is the snapshot of the world that is available to the learner, it makes sense to search for a solution that works well on that data."
260,261,This learning paradigm – coming up with a predictor h that minimizes LS(h) – is called Empirical Risk Minimization or ERM for short.
261,262,Something May Go Wrong – Overﬁtting
262,263,"Although the ERM rule seems very natural, without being careful, this approach"
263,264,"To demonstrate such a failure, let us go back to the problem of learning to predict the taste of a papaya on the basis of its softness and color. Consider a sample as depicted in the following:"
264,265,"Assume that the probability distribution D is such that instances are distributed uniformly within the gray square and the labeling function, f, determines the"
265,266,"Consider the following predictor: representation of it using polynomials. Clearly, no matter what the sample is, error). On the other hand, the true error of any classiﬁer that predicts the label"
266,267,"We have found a predictor whose performance on the training set is excellent, yet its performance on the true “world” is very poor. This phenomenon is called overﬁtting. Intuitively, overﬁtting occurs when our hypothesis ﬁts the training data “too well” (perhaps like the everyday experience that a person who provides a perfect detailed explanation for each of his single actions may raise suspicion)."
267,268,Empirical Risk Minimization with Inductive Bias
268,269,"We have just demonstrated that the ERM rule might lead to overﬁtting. Rather than giving up on the ERM paradigm, we will look for ways to rectify it. We will search for conditions under which there is a guarantee that ERM does not overﬁt, namely, conditions under which when the ERM predictor has good performance with respect to the training data, it is also highly likely to perform well over the underlying data distribution."
